event_name,last_updated,stat_display,position,player_name,dg_id,stat_round,total,round,thru,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_bs,sg_total
Farmers Insurance Open,2025-01-26 01:58:42 UTC,values,1,"English, Harris",14577,1,-8.0,-4.0,18.0,,,,,,,2.218
,,,2,"Stevens, Samuel",25569,1,-7.0,-3.0,18.0,-0.32,0.25,1.94,1.71,3.9,3.65,3.58
,,,3,"Novak, Andrew",23475,1,-6.0,-2.0,18.0,,,,,,,0.218
,,,T4,"Im, Sungjae",17488,1,-5.0,-3.0,18.0,0.96,1.96,-0.3,0.96,2.62,0.66,3.58
,,,T4,"Ventura, Kristoffer",15651,1,-5.0,-4.0,18.0,,,,,,,2.218
,,,6,"Springer, Hayden",21995,1,-4.0,-7.0,18.0,,,,,,,5.218
,,,T7,"Pendrith, Taylor",17780,1,-3.0,-3.0,18.0,,,,,,,1.218
,,,T7,"Gordon, Will",26660,1,-3.0,-3.0,18.0,,,,,,,1.218
,,,T9,"Willett, Danny",12920,1,-2.0,-2.0,18.0,,,,,,,0.218
,,,T9,"Hodges, Lee",25157,1,-2.0,-5.0,18.0,1.03,0.87,2.1,1.59,4.55,3.69,5.58
,,,T9,"Griffin, Lanto",15330,1,-2.0,-6.0,18.0,,,,,,,4.218
,,,T9,"Sigg, Greyson",23482,1,-2.0,-3.0,18.0,,,,,,,1.218
,,,T9,"Lee, Kyounghoon",13497,1,-2.0,-5.0,18.0,-0.12,0.33,4.5,0.87,5.7,5.37,5.58
,,,T9,"Dahmen, Joel",14509,1,-2.0,-3.0,18.0,,,,,,,1.218
,,,T15,"Hossler, Beau",15470,1,-1.0,-2.0,18.0,,,,,,,0.218
,,,T15,"Bradley, Keegan",13872,1,-1.0,-3.0,18.0,,,,,,,1.218
,,,T15,"Valimaki, Sami",23816,1,-1.0,-4.0,18.0,,,,,,,2.218
,,,T15,"Clanton, Luke",32330,1,-1.0,-2.0,18.0,,,,,,,0.218
,,,T15,"Streelman, Kevin",8480,1,-1.0,0.0,18.0,,,,,,,-1.782
,,,T15,"Detry, Thomas",14181,1,-1.0,-1.0,18.0,1.81,-0.25,-0.75,0.77,-0.23,0.02,1.58
,,,T15,"Spaun, J.J.",17536,1,-1.0,1.0,18.0,-0.96,-0.75,0.29,0.99,0.54,1.28,-0.42
,,,T15,"Gerard, Ryan",29767,1,-1.0,-3.0,18.0,,,,,,,1.218
,,,T15,"Castillo, Ricky",27819,1,-1.0,-5.0,18.0,,,,,,,3.218
,,,T15,"Potgieter, Aldrich",27900,1,-1.0,-6.0,18.0,,,,,,,4.218
,,,T25,"Schenk, Adam",19477,1,0.0,-3.0,18.0,,,,,,,1.218
,,,T25,"Hoffman, Charley",5768,1,0.0,-2.0,18.0,,,,,,,0.218
,,,T25,"Gotterup, Chris",27774,1,0.0,-1.0,18.0,1.09,-0.63,0.55,0.58,0.49,1.12,1.58
,,,T25,"Ryder, Sam",16715,1,0.0,-1.0,18.0,1.17,-0.44,2.25,-1.4,0.41,0.85,1.58
,,,T25,"Manassero, Matteo",11460,1,0.0,-2.0,18.0,0.1,0.87,1.64,-0.03,2.48,1.61,2.58
,,,T25,"Bryan, Wesley",21236,1,0.0,-4.0,18.0,,,,,,,2.218
,,,T25,"Schmid, Matthias",20722,1,0.0,-1.0,18.0,0.04,0.65,0.53,0.37,1.54,0.9,1.58
,,,T32,"Putnam, Andrew",14704,1,1.0,-5.0,18.0,,,,,,,3.218
,,,T32,"Knapp, Jake",19396,1,1.0,-1.0,18.0,,,,,,,-0.782
,,,T32,"Whaley, Vince",25908,1,1.0,1.0,18.0,-1.49,0.2,-0.01,0.88,1.07,0.87,-0.42
,,,T32,"Blair, Zac",17639,1,1.0,-6.0,18.0,,,,,,,4.218
,,,T32,"Baddeley, Aaron",6252,1,1.0,-5.0,18.0,,,,,,,3.218
,,,T32,"Matsuyama, Hideki",13562,1,1.0,-4.0,18.0,1.84,0.64,1.71,0.39,2.74,2.1,4.58
,,,T32,"Day, Jason",9771,1,1.0,2.0,18.0,-1.63,-0.5,-0.76,1.47,0.21,0.71,-1.42
,,,T32,"Snedeker, Brandt",8820,1,1.0,0.0,18.0,,,,,,,-1.782
,,,T40,"Xiong, Norman",24354,1,2.0,-4.0,18.0,3.55,0.01,0.36,0.66,1.03,1.02,4.58
,,,T40,"Norrman, Vincent",22535,1,2.0,-3.0,18.0,,,,,,,1.218
,,,T42,"Kim, Chan",15004,1,3.0,-4.0,18.0,0.81,0.17,2.66,0.95,3.77,3.61,4.58
,,,T42,"Vegas, Jhonattan",13508,1,3.0,-2.0,18.0,0.96,0.84,1.82,-1.03,1.62,0.78,2.58
,,,T42,"Higgo, Garrick",24342,1,3.0,-2.0,18.0,,,,,,,0.218
,,,T42,"Walker, Danny",25003,1,3.0,-7.0,18.0,3.69,0.25,2.21,1.43,3.89,3.64,7.58
,,,T42,"Salinda, Isaiah",27183,1,3.0,-4.0,18.0,,,,,,,2.218
,,,T42,"Aberg, Ludvig",23950,1,3.0,-9.0,18.0,,,,,,,7.218
,,,T48,"Johnson, Zach",6986,1,4.0,-6.0,18.0,,,,,,,4.218
,,,T48,"Rozner, Antoine",18770,1,4.0,-5.0,18.0,,,,,,,3.218
,,,T48,"Greyserman, Max",23465,1,4.0,-1.0,18.0,,,,,,,-0.782
,,,T48,"Ramey, Chad",19840,1,4.0,-2.0,18.0,,,,,,,0.218
,,,T52,"McNealy, Maverick",18634,1,5.0,-2.0,18.0,,,,,,,0.218
,,,T52,"Tway, Kevin",13127,1,5.0,-2.0,18.0,,,,,,,0.218
,,,T52,"Theegala, Sahith",23014,1,5.0,-1.0,18.0,,,,,,,-0.782
,,,T52,"Meissner, Mac",28159,1,5.0,-3.0,18.0,2.61,0.85,0.77,-0.65,0.97,0.12,3.58
,,,T56,"Moore, Taylor",21944,1,6.0,2.0,18.0,-2.67,0.94,-0.71,1.03,1.25,0.31,-1.42
,,,T56,"Koivun, Jackson",32319,1,6.0,-4.0,18.0,1.38,0.4,1.37,1.43,3.2,2.8,4.58
,,,T56,"Suber, Jackson",29279,1,6.0,1.0,18.0,,,,,,,-2.782
,,,T56,"List, Luke",7960,1,6.0,-3.0,18.0,,,,,,,1.218
,,,T56,"Capan III, Frankie",21412,1,6.0,1.0,18.0,1.12,-0.25,-1.31,0.02,-1.54,-1.29,-0.42
,,,T56,"Rodgers, Patrick",16283,1,6.0,-1.0,18.0,-0.37,0.78,0.5,0.67,1.95,1.17,1.58
,,,T56,"Pak, John",27820,1,6.0,-5.0,18.0,,,,,,,3.218
,,,T63,"Higgs, Harry",14140,1,7.0,1.0,18.0,,,,,,,-2.782
,,,T63,"Goodwin, Noah",24837,1,7.0,-5.0,18.0,,,,,,,3.218
,,,T63,"Fisk, Steven",26657,1,7.0,-3.0,18.0,,,,,,,1.218
,,,T66,"Del Solar, Cristobal",17422,1,8.0,-4.0,18.0,3.3,-0.2,0.88,0.6,1.28,1.49,4.58
,,,T66,"Mouw, William",29770,1,8.0,1.0,18.0,1.04,-0.72,-0.57,-0.17,-1.46,-0.74,-0.42
,,,T68,"Hubbard, Mark",16333,1,9.0,-1.0,18.0,-0.49,0.66,2.03,-0.63,2.07,1.4,1.58
,,,T68,"Cole, Eric",21756,1,9.0,-2.0,18.0,,,,,,,0.218
,,,70,"Phillips, Chandler",27164,1,14.0,-1.0,18.0,,,,,,,-0.782
,,,CUT,"Fishburn, Patrick",25094,1,2.0,3.0,18.0,-2.39,0.15,1.05,-1.23,-0.03,-0.18,-2.42
,,,CUT,"Hoshino, Rikuya",19190,1,2.0,-2.0,18.0,,,,,,,0.218
,,,CUT,"Svensson, Jesper",26850,1,2.0,-1.0,18.0,,,,,,,-0.782
,,,CUT,"Thorbjornsen, Michael",26649,1,2.0,-3.0,18.0,,,,,,,1.218
,,,CUT,"Cummins, Quade",27996,1,2.0,-1.0,18.0,1.47,0.21,-0.58,0.49,0.11,-0.09,1.58
,,,CUT,"Ghim, Doug",24550,1,2.0,0.0,18.0,-1.3,-0.17,2.68,-0.63,1.88,2.05,0.58
,,,CUT,"Svensson, Adam",13997,1,2.0,2.0,18.0,-0.74,-0.69,1.02,-1.01,-0.68,0.01,-1.42
,,,CUT,"Malnati, Peter",14926,1,2.0,-3.0,18.0,,,,,,,1.218
,,,CUT,"Silverman, Ben",17381,1,2.0,1.0,18.0,-1.76,0.97,0.4,-0.02,1.34,0.38,-0.42
,,,CUT,"Bramlett, Joseph",14698,1,3.0,-1.0,18.0,0.12,-0.05,1.33,0.19,1.46,1.51,1.58
,,,CUT,"Bridgeman, Jacob",29433,1,3.0,-1.0,18.0,0.91,-0.43,0.53,0.57,0.67,1.1,1.58
,,,CUT,"Rai, Aaron",18554,1,3.0,-3.0,18.0,,,,,,,1.218
,,,CUT,"Lowry, Shane",13900,1,3.0,0.0,18.0,-1.08,-0.26,1.36,0.56,1.66,1.91,0.58
,,,CUT,"Van Rooyen, Erik",17550,1,3.0,-5.0,18.0,,,,,,,3.218
,,,CUT,"Onishi, Kaito",25263,1,3.0,2.0,18.0,-1.62,1.16,-0.94,-0.01,0.2,-0.95,-1.42
,,,CUT,"Albertson, Anders",21235,1,3.0,-4.0,18.0,,,,,,,2.218
,,,CUT,"Highsmith, Joe",28469,1,3.0,0.0,18.0,,,,,,,-1.782
,,,CUT,"Perez, Victor",20730,1,3.0,-1.0,18.0,-0.53,-0.95,2.42,0.64,2.11,3.06,1.58
,,,CUT,"Yu, Kevin",17881,1,3.0,-3.0,18.0,,,,,,,1.218
,,,CUT,"Kim, Si Woo",14609,1,3.0,-1.0,18.0,,,,,,,-0.782
,,,CUT,"McCarty, Matt",28635,1,3.0,0.0,18.0,1.74,-0.51,-0.94,0.29,-1.16,-0.66,0.58
,,,CUT,"Jaeger, Stephan",16394,1,3.0,-1.0,18.0,2.16,1.19,-2.65,0.87,-0.58,-1.78,1.58
,,,CUT,"Kanaya, Takumi",19729,1,3.0,-1.0,18.0,0.15,-0.18,0.39,1.23,1.43,1.62,1.58
,,,CUT,"Tosti, Alejandro",17032,1,3.0,-3.0,18.0,,,,,,,1.218
,,,CUT,"Reiter, Charles",24303,1,3.0,1.0,18.0,-0.5,-0.5,-0.14,0.72,0.08,0.58,-0.42
,,,CUT,"Mullinax, Trey",18761,1,4.0,0.0,18.0,,,,,,,-1.782
,,,CUT,"Andersen, Mason",23540,1,4.0,1.0,18.0,-1.79,0.61,1.28,-0.52,1.37,0.76,-0.42
,,,CUT,"Norgaard, Niklas",15676,1,4.0,-2.0,18.0,-0.32,-0.22,2.54,0.58,2.9,3.12,2.58
,,,CUT,"Yuan, Carl",17266,1,4.0,0.0,18.0,1.36,0.53,-1.12,-0.19,-0.78,-1.31,0.58
,,,CUT,"Merritt, Troy",13367,1,4.0,-3.0,18.0,,,,,,,1.218
,,,CUT,"Riley, Davis",19872,1,4.0,3.0,18.0,,,,,,,-4.782
,,,CUT,"Griffin, Ben",24968,1,5.0,0.0,18.0,,,,,,,-1.782
,,,CUT,"Kitayama, Kurt",21891,1,5.0,-2.0,18.0,0.48,0.1,1.29,0.71,2.1,2.01,2.58
,,,CUT,"Finau, Tony",11676,1,5.0,0.0,18.0,-2.16,0.52,1.09,1.14,2.74,2.22,0.58
,,,CUT,"Villegas, Camilo",9171,1,5.0,1.0,18.0,0.23,-0.51,0.41,-0.54,-0.65,-0.13,-0.42
,,,CUT,"Paul, Jeremy",22087,1,5.0,4.0,18.0,0.24,-0.82,-2.01,-0.83,-3.66,-2.84,-3.42
,,,CUT,"Campbell, Brian",18628,1,5.0,3.0,18.0,-1.57,0.18,0.03,-1.06,-0.85,-1.03,-2.42
,,,CUT,"Smalley, Alex",18474,1,5.0,1.0,18.0,,,,,,,-2.782
,,,CUT,"Montgomery, Taylor",25442,1,5.0,2.0,18.0,-0.05,-1.26,-1.05,0.94,-1.37,-0.11,-1.42
,,,CUT,"Rose, Justin",6093,1,5.0,-3.0,18.0,,,,,,,1.218
,,,CUT,"Chandler, Will",31212,1,5.0,1.0,18.0,,,,,,,-2.782
,,,CUT,"Wu, Dylan",25002,1,5.0,1.0,18.0,0.17,-0.47,-1.16,1.03,-0.59,-0.13,-0.42
,,,CUT,"NeSmith, Matthew",16433,1,6.0,3.0,18.0,,,,,,,-4.782
,,,CUT,"Eckroat, Austin",26653,1,6.0,0.0,18.0,,,,,,,-1.782
,,,CUT,"Molinari, Francesco",7655,1,6.0,0.0,18.0,1.23,0.2,-0.31,-0.53,-0.65,-0.85,0.58
,,,CUT,"Coody, Pierceson",28309,1,6.0,-2.0,18.0,3.24,1.44,-2.27,0.18,-0.66,-2.1,2.58
,,,CUT,"Lawrence, Thriston",18105,1,7.0,-1.0,18.0,1.37,-0.82,0.44,0.58,0.21,1.03,1.58
,,,CUT,"Hoey, Rico",23504,1,7.0,4.0,18.0,,,,,,,-5.782
,,,CUT,"Gutschewski, Scott",7305,1,7.0,3.0,18.0,1.49,-2.03,-2.08,0.21,-3.91,-1.87,-2.42
,,,CUT,"Kim, Seonghyeon",21688,1,7.0,-5.0,18.0,,,,,,,3.218
,,,CUT,"Berger, Daniel",17606,1,7.0,3.0,18.0,-2.7,0.49,-0.9,0.7,0.29,-0.2,-2.42
,,,CUT,"Hardy, Nick",19865,1,7.0,-1.0,18.0,1.47,-1.01,-0.67,1.79,0.11,1.12,1.58
,,,CUT,"Lower, Justin",17723,1,7.0,3.0,18.0,-2.08,0.48,0.2,-1.02,-0.34,-0.82,-2.42
,,,CUT,"Palmer, Ryan",7820,1,8.0,2.0,18.0,,,,,,,-3.782
,,,CUT,"Korte, Chris",26124,1,8.0,5.0,18.0,,,,,,,-6.782
,,,CUT,"Skinns, David",10873,1,8.0,1.0,18.0,1.26,0.46,0.15,-2.28,-1.68,-2.13,-0.42
,,,CUT,"Dickson, Taylor",27420,1,8.0,0.0,18.0,0.28,2.46,-0.27,-1.88,0.3,-2.16,0.58
,,,CUT,"Mack III, Willie",21549,1,8.0,5.0,18.0,-0.2,-0.72,-0.87,-2.64,-4.22,-3.5,-4.42
,,,CUT,"Pavon, Matthieu",19960,1,9.0,1.0,18.0,3.33,-0.67,-3.73,0.64,-3.75,-3.09,-0.42
,,,CUT,"Campos, Rafael",12909,1,9.0,2.0,18.0,,,,,,,-3.782
,,,CUT,"Riedel, Matthew",30892,1,9.0,4.0,18.0,,,,,,,-5.782
,,,CUT,"Norlander, Henrik",11657,1,9.0,3.0,18.0,,,,,,,-4.782
,,,CUT,"Widing, Tim",21875,1,9.0,3.0,18.0,-3.07,-0.17,1.14,-0.32,0.65,0.82,-2.42
,,,CUT,"Cone, Trevor",21880,1,9.0,-1.0,18.0,,,,,,,-0.782
,,,CUT,"Young, Carson",23656,1,10.0,4.0,18.0,-1.95,-0.6,-1.25,0.37,-1.47,-0.87,-3.42
,,,CUT,"Hall, Ryan",28630,1,10.0,4.0,18.0,-0.85,0.33,-1.54,-1.36,-2.57,-2.9,-3.42
,,,CUT,"Velo, Kevin",27762,1,10.0,2.0,18.0,-1.09,1.3,-1.52,-0.1,-0.33,-1.63,-1.42
,,,CUT,"Kim, Michael",17543,1,10.0,5.0,18.0,-1.65,0.14,-1.35,-1.55,-2.77,-2.91,-4.42
,,,CUT,"Wallace, Matt",20706,1,10.0,5.0,18.0,-4.0,0.45,0.66,-1.52,-0.41,-0.87,-4.42
,,,CUT,"Hisatsune, Ryo",22760,1,10.0,4.0,18.0,-2.76,1.03,-1.38,-0.31,-0.66,-1.69,-3.42
,,,CUT,"Garrigus, Robert",6789,1,10.0,1.0,18.0,,,,,,,-2.782
,,,CUT,"Rosenmueller, Thomas",22736,1,11.0,5.0,18.0,-0.83,-0.92,-3.07,0.4,-3.59,-2.66,-4.42
,,,CUT,"Knous, Jim",16382,1,11.0,3.0,18.0,,,,,,,-4.782
,,,CUT,"Laird, Martin",9586,1,13.0,4.0,18.0,-0.33,0.1,-1.15,-2.03,-3.08,-3.19,-3.42
,,,CUT,"McCall, Cavin",10067971,1,16.0,8.0,18.0,,,,,,,-9.782
,,,WD,"Thornberry, Braden",23502,1,,,,-2.09,-2.39,-1.82,-0.85,-5.06,-2.67,-7.14
,,,WD,"Lashley, Nate",10943,1,,,,1.23,-0.73,-1.03,-0.89,-2.64,-1.92,-1.42
,,,WD,"Buckley, Hayden",25363,1,,,,-3.53,-0.33,-1.2,-1.36,-2.89,-2.56,-6.42
,,,WD,"Roy, Kevin",18424,1,,,,-0.54,0.19,0.06,-0.13,0.12,-0.07,-0.42
,,,WD,"Homa, Max",17538,1,,,,-3.16,0.63,-2.32,0.43,-1.26,-1.89,-4.42
,,,WD,"Lipsky, David",15980,1,,,,,,,,,,-5.782
,,,WD,"McGreevy, Max",23505,1,,,,,,,,,,-0.782
,,,WD,"Peterson, Paul",16341,1,,,,0.76,-2.39,-0.08,-0.71,-3.18,-0.79,-2.42
,,,WD,"Knowles, Philip",24562,1,,,,1.91,-0.34,-0.9,-2.09,-3.33,-2.99,-1.42
,,,WD,"Grillo, Emiliano",12808,1,,,,1.59,-2.1,-3.85,-1.05,-7.01,-4.9,-5.42
